date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:43:38	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1694721244-ssl-df	https://devdocs.mimik.com/robots.txt		(from )
03:43:39	210346/210346	---M-Z	200	added ('OK')	text/html	etag:%229518fda1bd135a17ca10d2d0ed5a82f6-ssl-df%22	https://devdocs.mimik.com/	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/index.html	(from )
03:43:39	188/188	---M--	200	added ('OK')	application/xml	etag:%22fbd83ac70243de409b1a394e0ec8960c-ssl%22	https://devdocs.mimik.com/sitemap/sitemap-index.xml	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/sitemap/sitemap-index.xml	(from https://devdocs.mimik.com/)
03:43:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2023%20Apr%202024%2010:43:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	/Users/seyedsharif/Download/mimikDocsa/www.googletagmanager.com/gtm.15445.delayed	(from https://devdocs.mimik.com/)
03:43:42	3856/3856	---MCZ	200	added ('OK')	application/javascript	etag:%2246f6cb8614d2a97d0a1f1d77cca89ce5-ssl-df%22	https://devdocs.mimik.com/webpack-runtime-14b0c3ab8eef706965c6.js	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/webpack-runtime-14b0c3ab8eef706965c6.js	(from https://devdocs.mimik.com/)
03:43:43	129580/129580	---MCZ	200	added ('OK')	application/javascript	etag:%2262a0707ef390e81580c056928e9a959c-ssl-df%22	https://devdocs.mimik.com/framework-f817292d3a4a82414100.js	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/framework-f817292d3a4a82414100.js	(from https://devdocs.mimik.com/)
03:43:44	8317/8317	---MCZ	200	added ('OK')	application/javascript	etag:%2218fbecd0b75f1246d979b1c71940e988-ssl-df%22	https://devdocs.mimik.com/bf639c13-c4fcac24f5d45296370f.js	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/bf639c13-c4fcac24f5d45296370f.js	(from https://devdocs.mimik.com/)
03:43:46	1090196/1090196	---MCZ	200	added ('OK')	application/javascript	etag:%2286437f8a924a9a0c5df1909b67863545-ssl-df%22	https://devdocs.mimik.com/04941aa6-8f72b7da63c2f02fe848.js	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/04941aa6-8f72b7da63c2f02fe848.js	(from https://devdocs.mimik.com/)
03:43:46	67981/67981	---MCZ	200	added ('OK')	application/javascript	etag:%221f1d0ff332e233f5152ffa9fbf201651-ssl-df%22	https://devdocs.mimik.com/277075f8-9aaa5cdf78c8bc329e86.js	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/277075f8-9aaa5cdf78c8bc329e86.js	(from https://devdocs.mimik.com/)
03:43:47	542708/542708	---MCZ	200	added ('OK')	application/javascript	etag:%224b57115b05e3df4378f9426b0a101ad3-ssl-df%22	https://devdocs.mimik.com/app-eea60c02f73aeb9c6330.js	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/app-eea60c02f73aeb9c6330.js	(from https://devdocs.mimik.com/)
03:43:48	13888/13888	---MCZ	200	added ('OK')	application/json	etag:%220960f4db7330ba2827b025c31daa43dd-ssl-df%22	https://devdocs.mimik.com/page-data/index/page-data.json	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/page-data/index/page-data.json	(from https://devdocs.mimik.com/)
03:43:49	9766/9766	---MCZ	200	added ('OK')	application/json	etag:%227b2e411f01c57dec9d527517c758c680-ssl-df%22	https://devdocs.mimik.com/page-data/sq/d/2619113677.json	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/page-data/sq/d/2619113677.json	(from https://devdocs.mimik.com/)
03:43:50	296690/296690	---MCZ	200	added ('OK')	application/json	etag:%22f6065d29b7f210a1bf1bbe86929986ed-ssl-df%22	https://devdocs.mimik.com/page-data/sq/d/320950771.json	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/page-data/sq/d/320950771.json	(from https://devdocs.mimik.com/)
03:43:51	49479/49479	---MCZ	200	added ('OK')	application/json	etag:%22c6069bd63535f0d7f46e49420a2aa4bc-ssl-df%22	https://devdocs.mimik.com/page-data/sq/d/3706406642.json	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/page-data/sq/d/3706406642.json	(from https://devdocs.mimik.com/)
03:43:51	307/307	---M--	200	added ('OK')	application/json	etag:%22153260a85eef9397a83de7c8ecdf355f-ssl%22	https://devdocs.mimik.com/page-data/sq/d/417421954.json	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/page-data/sq/d/417421954.json	(from https://devdocs.mimik.com/)
03:43:52	50/50	---M--	200	added ('OK')	application/json	etag:%2209eece74d983b61cf19e1f97ade9a239-ssl%22	https://devdocs.mimik.com/page-data/app-data.json	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/page-data/app-data.json	(from https://devdocs.mimik.com/)
03:43:53	38977/38977	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2203f70137723400d4303a941a1f7ad532-ssl-df%22	https://devdocs.mimik.com/introduction	/Users/seyedsharif/Download/mimikDocsa/devdocs.mimik.com/introduction.e.delayed	(from https://devdocs.mimik.com/)
